Strategy A for N = 1000
Strategy A for N = 10000
324,3.24%
195,1.95%
226,2.26%
220,2.20%
217,2.17%
302,3.02%
238,2.38%
222,2.22%
224,2.24%
218,2.18%
638,6.38%
253,2.53%
261,2.61%
254,2.54%
206,2.06%
310,3.10%
279,2.79%
289,2.89%
319,3.19%
330,3.30%
269,2.69%
290,2.90%
250,2.50%
287,2.87%
328,3.28%
300,3.00%
285,2.85%
267,2.67%
278,2.78%
256,2.56%
263,2.63%
293,2.93%
252,2.52%
276,2.76%
276,2.76%
220,2.20%
223,2.23%
209,2.09%
208,2.08%
245,2.45%
Strategy A for N = 100000
3081,3.08%
2096,2.10%
2182,2.18%
2120,2.12%
2306,2.31%
3002,3.00%
2259,2.26%
2283,2.28%
2270,2.27%
2214,2.21%
6335,6.34%
2740,2.74%
2615,2.61%
2373,2.37%
2501,2.50%
2924,2.92%
2836,2.84%
2919,2.92%
2868,2.87%
3150,3.15%
2904,2.90%
2839,2.84%
2813,2.81%
2807,2.81%
3117,3.12%
3069,3.07%
2684,2.68%
2727,2.73%
2876,2.88%
2492,2.49%
2662,2.66%
2691,2.69%
2560,2.56%
2765,2.77%
2447,2.45%
2380,2.38%
2338,2.34%
2240,2.24%
2136,2.14%
2686,2.69%
Strategy A for N = 1000000
30900,3.09%
21270,2.13%
21634,2.16%
21635,2.16%
23346,2.33%
29752,2.98%
22626,2.26%
22955,2.30%
23437,2.34%
22881,2.29%
62522,6.25%
27071,2.71%
26234,2.62%
23613,2.36%
24673,2.47%
28966,2.90%
28063,2.81%
29651,2.97%
29495,2.95%
30748,3.07%
28868,2.89%
28347,2.83%
27934,2.79%
27021,2.70%
31886,3.19%
30781,3.08%
27167,2.72%
26700,2.67%
28000,2.80%
25630,2.56%
26468,2.65%
26603,2.66%
26336,2.63%
26831,2.68%
25119,2.51%
24130,2.41%
23147,2.31%
22004,2.20%
21903,2.19%
26345,2.63%
Strategy A for N = 1000
32,3.20%
18,1.80%
24,2.40%
22,2.20%
26,2.60%
30,3.00%
16,1.60%
28,2.80%
25,2.50%
22,2.20%
60,6.00%
27,2.70%
23,2.30%
29,2.90%
17,1.70%
38,3.80%
30,3.00%
28,2.80%
28,2.80%
31,3.10%
21,2.10%
41,4.10%
27,2.70%
28,2.80%
37,3.70%
30,3.00%
22,2.20%
23,2.30%
30,3.00%
24,2.40%
28,2.80%
22,2.20%
28,2.80%
23,2.30%
25,2.50%
30,3.00%
16,1.60%
17,1.70%
24,2.40%
32,3.20%
Strategy A for N = 10000
323,3.23%
209,2.09%
251,2.51%
200,2.00%
228,2.28%
299,2.99%
215,2.15%
233,2.33%
251,2.51%
246,2.46%
572,5.72%
275,2.75%
256,2.56%
242,2.42%
258,2.58%
278,2.78%
258,2.58%
285,2.85%
289,2.89%
321,3.21%
302,3.02%
287,2.87%
271,2.71%
254,2.54%
305,3.05%
340,3.40%
279,2.79%
240,2.40%
270,2.70%
261,2.61%
220,2.20%
260,2.60%
286,2.86%
295,2.95%
253,2.53%
246,2.46%
234,2.34%
201,2.01%
228,2.28%
264,2.64%
Strategy A for N = 100000
3072,3.07%
2135,2.14%
2123,2.12%
2221,2.22%
2416,2.42%
2967,2.97%
2236,2.24%
2276,2.28%
2328,2.33%
2298,2.30%
6240,6.24%
2686,2.69%
2604,2.60%
2481,2.48%
2463,2.46%
2934,2.93%
2817,2.82%
2891,2.89%
2934,2.93%
3057,3.06%
2930,2.93%
2857,2.86%
2708,2.71%
2759,2.76%
3182,3.18%
3071,3.07%
2715,2.72%
2686,2.69%
2672,2.67%
2541,2.54%
2695,2.70%
2691,2.69%
2650,2.65%
2680,2.68%
2502,2.50%
2541,2.54%
2292,2.29%
2150,2.15%
2168,2.17%
2556,2.56%
Strategy A for N = 1000000
30926,3.09%
21229,2.12%
21402,2.14%
21625,2.16%
23086,2.31%
29692,2.97%
22610,2.26%
22902,2.29%
23128,2.31%
23024,2.30%
62111,6.21%
26928,2.69%
26151,2.62%
23906,2.39%
24783,2.48%
29016,2.90%
27935,2.79%
29507,2.95%
29599,2.96%
31042,3.10%
29013,2.90%
28667,2.87%
27816,2.78%
27023,2.70%
31943,3.19%
30744,3.07%
27160,2.72%
26896,2.69%
27982,2.80%
25963,2.60%
26325,2.63%
26705,2.67%
26067,2.61%
27127,2.71%
25150,2.51%
24292,2.43%
22869,2.29%
21863,2.19%
21777,2.18%
26282,2.63%
Strategy A for N = 1000
25,2.50%
29,2.90%
15,1.50%
25,2.50%
23,2.30%
37,3.70%
25,2.50%
25,2.50%
24,2.40%
19,1.90%
56,5.60%
17,1.70%
24,2.40%
33,3.30%
34,3.40%
31,3.10%
22,2.20%
33,3.30%
27,2.70%
29,2.90%
32,3.20%
24,2.40%
27,2.70%
27,2.70%
33,3.30%
33,3.30%
21,2.10%
23,2.30%
26,2.60%
30,3.00%
20,2.00%
26,2.60%
33,3.30%
19,1.90%
28,2.80%
30,3.00%
19,1.90%
20,2.00%
19,1.90%
29,2.90%
Strategy A for N = 10000
309,3.09%
200,2.00%
223,2.23%
212,2.12%
241,2.41%
292,2.92%
226,2.26%
236,2.36%
221,2.21%
237,2.37%
648,6.48%
237,2.37%
257,2.57%
254,2.54%
253,2.53%
295,2.95%
281,2.81%
282,2.82%
270,2.70%
310,3.10%
320,3.20%
290,2.90%
263,2.63%
283,2.83%
327,3.27%
308,3.08%
289,2.89%
262,2.62%
259,2.59%
271,2.71%
280,2.80%
276,2.76%
254,2.54%
277,2.77%
236,2.36%
258,2.58%
230,2.30%
211,2.11%
193,1.93%
264,2.64%
Strategy A for N = 100000
3134,3.13%
2111,2.11%
2211,2.21%
2170,2.17%
2310,2.31%
3019,3.02%
2144,2.14%
2355,2.36%
2350,2.35%
2331,2.33%
6236,6.24%
2717,2.72%
2582,2.58%
2309,2.31%
2461,2.46%
2911,2.91%
2741,2.74%
2987,2.99%
2901,2.90%
3130,3.13%
2919,2.92%
2785,2.79%
2840,2.84%
2783,2.78%
3164,3.16%
3026,3.03%
2731,2.73%
2728,2.73%
2729,2.73%
2618,2.62%
2584,2.58%
2709,2.71%
2603,2.60%
2729,2.73%
2479,2.48%
2470,2.47%
2385,2.39%
2169,2.17%
2209,2.21%
2561,2.56%
Strategy A for N = 1000000
30821,3.08%
21256,2.13%
21617,2.16%
21532,2.15%
23680,2.37%
29764,2.98%
22581,2.26%
23179,2.32%
23349,2.33%
22845,2.28%
62632,6.26%
27028,2.70%
25683,2.57%
23951,2.40%
24583,2.46%
29275,2.93%
27950,2.80%
29619,2.96%
29531,2.95%
30499,3.05%
28432,2.84%
28484,2.85%
27997,2.80%
27568,2.76%
32016,3.20%
30734,3.07%
27016,2.70%
26680,2.67%
28220,2.82%
25587,2.56%
26230,2.62%
26685,2.67%
26322,2.63%
26709,2.67%
25054,2.51%
24252,2.43%
23076,2.31%
22096,2.21%
21725,2.17%
26347,2.63%
Strategy A for N = 1000
30,3.00%
21,2.10%
19,1.90%
24,2.40%
24,2.40%
32,3.20%
24,2.40%
23,2.30%
24,2.40%
24,2.40%
59,5.90%
27,2.70%
23,2.30%
27,2.70%
29,2.90%
26,2.60%
26,2.60%
22,2.20%
40,4.00%
26,2.60%
29,2.90%
32,3.20%
23,2.30%
17,1.70%
28,2.80%
30,3.00%
32,3.20%
33,3.30%
29,2.90%
28,2.80%
29,2.90%
26,2.60%
27,2.70%
25,2.50%
24,2.40%
20,2.00%
22,2.20%
19,1.90%
27,2.70%
32,3.20%
Strategy A for N = 10000
321,3.21%
188,1.88%
202,2.02%
245,2.45%
248,2.48%
312,3.12%
228,2.28%
207,2.07%
218,2.18%
232,2.32%
644,6.44%
270,2.70%
257,2.57%
250,2.50%
245,2.45%
310,3.10%
279,2.79%
263,2.63%
296,2.96%
301,3.01%
304,3.04%
269,2.69%
266,2.66%
310,3.10%
308,3.08%
294,2.94%
266,2.66%
271,2.71%
284,2.84%
263,2.63%
262,2.62%
270,2.70%
246,2.46%
273,2.73%
258,2.58%
236,2.36%
233,2.33%
206,2.06%
207,2.07%
256,2.56%
Strategy A for N = 100000
3101,3.10%
2216,2.22%
2171,2.17%
2091,2.09%
2328,2.33%
2945,2.95%
2243,2.24%
2338,2.34%
2338,2.34%
2328,2.33%
6218,6.22%
2719,2.72%
2621,2.62%
2307,2.31%
2469,2.47%
2902,2.90%
2906,2.91%
2967,2.97%
2999,3.00%
3045,3.05%
2791,2.79%
2825,2.83%
2791,2.79%
2783,2.78%
3143,3.14%
3047,3.05%
2722,2.72%
2651,2.65%
2817,2.82%
2516,2.52%
2637,2.64%
2735,2.74%
2681,2.68%
2743,2.74%
2544,2.54%
2323,2.32%
2272,2.27%
2146,2.15%
2193,2.19%
2657,2.66%
Strategy A for N = 1000000
30888,3.09%
21208,2.12%
21475,2.15%
21682,2.17%
23384,2.34%
29831,2.98%
22587,2.26%
22988,2.30%
23219,2.32%
23122,2.31%
62342,6.23%
27017,2.70%
25699,2.57%
23931,2.39%
24795,2.48%
29103,2.91%
27832,2.78%
29876,2.99%
29219,2.92%
30884,3.09%
28712,2.87%
28543,2.85%
27780,2.78%
27139,2.71%
31603,3.16%
30761,3.08%
27107,2.71%
26783,2.68%
28329,2.83%
25892,2.59%
26150,2.61%
26674,2.67%
26223,2.62%
26952,2.70%
24782,2.48%
24389,2.44%
23354,2.34%
22116,2.21%
21975,2.20%
26118,2.61%
Strategy A for N = 1000
30,3.00%
25,2.50%
23,2.30%
18,1.80%
25,2.50%
39,3.90%
24,2.40%
28,2.80%
27,2.70%
21,2.10%
52,5.20%
28,2.80%
30,3.00%
21,2.10%
26,2.60%
27,2.70%
28,2.80%
28,2.80%
25,2.50%
33,3.30%
22,2.20%
31,3.10%
27,2.70%
27,2.70%
35,3.50%
25,2.50%
34,3.40%
35,3.50%
26,2.60%
25,2.50%
23,2.30%
22,2.20%
25,2.50%
28,2.80%
25,2.50%
21,2.10%
23,2.30%
23,2.30%
25,2.50%
23,2.30%
Strategy A for N = 10000
302,3.02%
224,2.24%
220,2.20%
221,2.21%
198,1.98%
302,3.02%
237,2.37%
218,2.18%
218,2.18%
233,2.33%
652,6.52%
255,2.55%
276,2.76%
242,2.42%
248,2.48%
292,2.92%
294,2.94%
272,2.72%
315,3.15%
290,2.90%
289,2.89%
272,2.72%
282,2.82%
285,2.85%
364,3.64%
291,2.91%
256,2.56%
248,2.48%
260,2.60%
272,2.72%
290,2.90%
279,2.79%
241,2.41%
281,2.81%
246,2.46%
248,2.48%
207,2.07%
210,2.10%
243,2.43%
256,2.56%
Strategy A for N = 100000
3055,3.06%
2156,2.16%
2204,2.20%
2115,2.11%
2302,2.30%
2961,2.96%
2222,2.22%
